episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms
69.55201146868392,62.29380253537224,65.26350235710865,198.2,5,0,0,0,0,1000,0,1000,0,1000,0,1000,0,1000,False,5,1,default,2023-06-03_01-26-12,1685769972,2.87436580657959,2.87436580657959,6620,choiOffice,127.0.0.1,2.87436580657959,1,1000,0,1000,0,69.55201146868392,62.29380253537224,65.26350235710865,198.2,5,0,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835]","[196, 188, 199, 198, 210]",0.4104665228417822,0.49517609618165037,0.11512068482664797,1.4000975049578108,0.0,0.0,0.0,0.0,3.44,3.44,1000,0,1000,0,13.1,30.1,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835]","[196, 188, 199, 198, 210]",0.4104665228417822,0.49517609618165037,0.11512068482664797,1.4000975049578108,0.0,0.0,0.0,0.0
119.36890698829264,3.689301277382855,65.46511764219026,236.75,3,0,0,0,0,2000,128000,2000,128000,1000,128000,2000,128000,2000,False,8,2,default,2023-06-03_01-26-31,1685769991,18.937900066375732,21.812265872955322,6620,choiOffice,127.0.0.1,21.812265872955322,2,2000,128000,2000,128000,119.36890698829264,3.689301277382855,65.46511764219026,236.75,3,0,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264]","[196, 188, 199, 198, 210, 301, 301, 301]",0.45052484851647967,0.5195666795935558,0.12405364505437635,1.4149091445579467,0.0,0.0,0.19534528255462646,0.012513995170593262,35.276,6.927,2000,128000,2000,128000,49.61538461538461,30.192307692307693,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264]","[196, 188, 199, 198, 210, 301, 301, 301]",0.45052484851647967,0.5195666795935558,0.12405364505437635,1.4149091445579467,0.0,0.0,0.19534528255462646,0.012513995170593262
152.17118474963402,3.689301277382855,78.76651984160598,236.58333333333334,4,0,0,0,0,3000,384000,3000,384000,1000,256000,3000,256000,3000,False,12,3,default,2023-06-03_01-27-06,1685770026,35.00531029701233,56.81757616996765,6620,choiOffice,127.0.0.1,56.81757616996765,3,3000,384000,3000,384000,152.17118474963402,3.689301277382855,78.76651984160598,236.58333333333334,4,0,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180]",0.48970983679980334,0.5418459059600972,0.13349726600238718,1.4747362971055633,0.0,0.0,0.13023018836975098,0.041703383127848305,33.941,3.364,3000,384000,3000,384000,53.244897959183675,30.255102040816325,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180]",0.48970983679980334,0.5418459059600972,0.13349726600238718,1.4747362971055633,0.0,0.0,0.13023018836975098,0.041703383127848305
163.59159236387708,3.689301277382855,94.30203899138215,245.125,4,0,0,0,0,4000,640000,4000,640000,1000,256000,4000,256000,4000,False,16,4,default,2023-06-03_01-27-41,1685770061,34.85487174987793,91.67244791984558,6620,choiOffice,127.0.0.1,91.67244791984558,4,4000,640000,4000,640000,163.59159236387708,3.689301277382855,94.30203899138215,245.125,4,0,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894, 79.58805897860161, 158.5863692858237, 163.59159236387708, 161.86836513454014]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180, 180, 301, 301, 301]",0.5108749426076714,0.5559793803426833,0.13766238978648698,1.5138783158702735,0.0,0.0,0.09767264127731323,0.03127753734588623,32.815,1.563,4000,640000,4000,640000,52.25208333333333,30.2375,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894, 79.58805897860161, 158.5863692858237, 163.59159236387708, 161.86836513454014]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180, 180, 301, 301, 301]",0.5108749426076714,0.5559793803426833,0.13766238978648698,1.5138783158702735,0.0,0.0,0.09767264127731323,0.03127753734588623
189.4159831295872,3.689301277382855,107.75524001173675,253.94736842105263,3,0,0,0,0,5000,896000,5000,896000,1000,256000,5000,256000,5000,False,19,5,default,2023-06-03_01-28-15,1685770095,34.30403399467468,125.97648191452026,6620,choiOffice,127.0.0.1,125.97648191452026,5,5000,896000,5000,896000,189.4159831295872,3.689301277382855,107.75524001173675,253.94736842105263,3,0,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894, 79.58805897860161, 158.5863692858237, 163.59159236387708, 161.86836513454014, 179.26687896417874, 189.4159831295872, 169.8340742671179]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180, 180, 301, 301, 301, 301, 301, 301]",0.5177073790873649,0.5674678569953879,0.14008099915722574,1.5288409350197318,0.0,0.0,0.08225064528615851,0.026338978817588406,33.427,3.854,5000,896000,5000,896000,50.63125,30.09375,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894, 79.58805897860161, 158.5863692858237, 163.59159236387708, 161.86836513454014, 179.26687896417874, 189.4159831295872, 169.8340742671179]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180, 180, 301, 301, 301, 301, 301, 301]",0.5177073790873649,0.5674678569953879,0.14008099915722574,1.5288409350197318,0.0,0.0,0.08225064528615851,0.026338978817588406
189.4159831295872,3.689301277382855,116.89725781146736,260.3636363636364,3,0,0,0,0,6000,1152000,6000,1152000,1000,256000,6000,256000,6000,False,22,6,default,2023-06-03_01-28-49,1685770129,34.25848460197449,160.23496651649475,6620,choiOffice,127.0.0.1,160.23496651649475,6,6000,1152000,6000,1152000,189.4159831295872,3.689301277382855,116.89725781146736,260.3636363636364,3,0,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894, 79.58805897860161, 158.5863692858237, 163.59159236387708, 161.86836513454014, 179.26687896417874, 189.4159831295872, 169.8340742671179, 175.6514427312208, 172.96866639383393, 175.77000250422913]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180, 180, 301, 301, 301, 301, 301, 301, 301, 301, 301]",0.5245248613560238,0.5749439467612558,0.13990415286243746,1.5394390131380324,0.0,0.0,0.07103464820168236,0.02729567614468661,34.378,0.0,6000,1152000,6000,1152000,50.71458333333334,30.099999999999998,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894, 79.58805897860161, 158.5863692858237, 163.59159236387708, 161.86836513454014, 179.26687896417874, 189.4159831295872, 169.8340742671179, 175.6514427312208, 172.96866639383393, 175.77000250422913]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180, 180, 301, 301, 301, 301, 301, 301, 301, 301, 301]",0.5245248613560238,0.5749439467612558,0.13990415286243746,1.5394390131380324,0.0,0.0,0.07103464820168236,0.02729567614468661
189.4159831295872,3.689301277382855,117.00572378917086,254.55555555555554,5,0,0,0,0,7000,1408000,7000,1408000,1000,256000,7000,256000,7000,False,27,7,default,2023-06-03_01-29-24,1685770164,34.28607511520386,194.5210416316986,6620,choiOffice,127.0.0.1,194.5210416316986,7,7000,1408000,7000,1408000,189.4159831295872,3.689301277382855,117.00572378917086,254.55555555555554,5,0,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894, 79.58805897860161, 158.5863692858237, 163.59159236387708, 161.86836513454014, 179.26687896417874, 189.4159831295872, 169.8340742671179, 175.6514427312208, 172.96866639383393, 175.77000250422913, 175.54571875443685, 172.2484051062193, 62.80603770721208, 65.01287977672702, 111.801829110736]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180, 180, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 156, 163, 224]",0.5342077627050963,0.5838193219592586,0.1411249929366935,1.5468016746269102,0.0,0.0,0.05788008371988932,0.02224092130307798,34.378,9.376,7000,1408000,7000,1408000,50.88958333333333,30.164583333333336,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894, 79.58805897860161, 158.5863692858237, 163.59159236387708, 161.86836513454014, 179.26687896417874, 189.4159831295872, 169.8340742671179, 175.6514427312208, 172.96866639383393, 175.77000250422913, 175.54571875443685, 172.2484051062193, 62.80603770721208, 65.01287977672702, 111.801829110736]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180, 180, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 156, 163, 224]",0.5342077627050963,0.5838193219592586,0.1411249929366935,1.5468016746269102,0.0,0.0,0.05788008371988932,0.02224092130307798
211.92574113492464,3.689301277382855,121.5416053390756,259.2,3,0,0,0,0,8000,1664000,8000,1664000,1000,256000,8000,256000,8000,False,30,8,default,2023-06-03_01-29-58,1685770198,34.24360156059265,228.76464319229126,6620,choiOffice,127.0.0.1,228.76464319229126,8,8000,1664000,8000,1664000,211.92574113492464,3.689301277382855,121.5416053390756,259.2,3,0,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894, 79.58805897860161, 158.5863692858237, 163.59159236387708, 161.86836513454014, 179.26687896417874, 189.4159831295872, 169.8340742671179, 175.6514427312208, 172.96866639383393, 175.77000250422913, 175.54571875443685, 172.2484051062193, 62.80603770721208, 65.01287977672702, 111.801829110736, 211.92574113492464, 125.92699673616391, 149.24087999356655]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180, 180, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 156, 163, 224, 301, 301, 301]",0.5385542645835415,0.5860185554398812,0.1407000980115394,1.5536289017429408,0.0,0.0,0.05209207534790039,0.020016829172770183,32.815,0.0,8000,1664000,8000,1664000,50.62291666666667,30.2,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894, 79.58805897860161, 158.5863692858237, 163.59159236387708, 161.86836513454014, 179.26687896417874, 189.4159831295872, 169.8340742671179, 175.6514427312208, 172.96866639383393, 175.77000250422913, 175.54571875443685, 172.2484051062193, 62.80603770721208, 65.01287977672702, 111.801829110736, 211.92574113492464, 125.92699673616391, 149.24087999356655]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180, 180, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 156, 163, 224, 301, 301, 301]",0.5385542645835415,0.5860185554398812,0.1407000980115394,1.5536289017429408,0.0,0.0,0.05209207534790039,0.020016829172770183
211.92574113492464,3.689301277382855,125.96292596176058,264.11764705882354,4,0,0,0,0,9000,1920000,9000,1920000,1000,256000,9000,256000,9000,False,34,9,default,2023-06-03_01-30-32,1685770232,34.47323560714722,263.2378787994385,6620,choiOffice,127.0.0.1,263.2378787994385,9,9000,1920000,9000,1920000,211.92574113492464,3.689301277382855,125.96292596176058,264.11764705882354,4,0,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894, 79.58805897860161, 158.5863692858237, 163.59159236387708, 161.86836513454014, 179.26687896417874, 189.4159831295872, 169.8340742671179, 175.6514427312208, 172.96866639383393, 175.77000250422913, 175.54571875443685, 172.2484051062193, 62.80603770721208, 65.01287977672702, 111.801829110736, 211.92574113492464, 125.92699673616391, 149.24087999356655, 163.83592233563726, 158.62944364552422, 155.79373467476685, 158.23222187166255]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180, 180, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 156, 163, 224, 301, 301, 301, 301, 301, 301, 301]",0.5455468573865424,0.5885438983909859,0.14040404933171619,1.5625316632791717,0.0,0.0,0.045963595895206225,0.020611987394445083,37.503,1.563,9000,1920000,9000,1920000,50.61041666666667,30.2,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894, 79.58805897860161, 158.5863692858237, 163.59159236387708, 161.86836513454014, 179.26687896417874, 189.4159831295872, 169.8340742671179, 175.6514427312208, 172.96866639383393, 175.77000250422913, 175.54571875443685, 172.2484051062193, 62.80603770721208, 65.01287977672702, 111.801829110736, 211.92574113492464, 125.92699673616391, 149.24087999356655, 163.83592233563726, 158.62944364552422, 155.79373467476685, 158.23222187166255]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180, 180, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 156, 163, 224, 301, 301, 301, 301, 301, 301, 301]",0.5455468573865424,0.5885438983909859,0.14040404933171619,1.5625316632791717,0.0,0.0,0.045963595895206225,0.020611987394445083
211.92574113492464,3.689301277382855,123.6564026251262,261.7105263157895,4,0,0,0,0,10000,2176000,10000,2176000,1000,256000,10000,256000,10000,False,38,10,default,2023-06-03_01-31-07,1685770267,34.52309274673462,297.7609715461731,6620,choiOffice,127.0.0.1,297.7609715461731,10,10000,2176000,10000,2176000,211.92574113492464,3.689301277382855,123.6564026251262,261.7105263157895,4,0,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894, 79.58805897860161, 158.5863692858237, 163.59159236387708, 161.86836513454014, 179.26687896417874, 189.4159831295872, 169.8340742671179, 175.6514427312208, 172.96866639383393, 175.77000250422913, 175.54571875443685, 172.2484051062193, 62.80603770721208, 65.01287977672702, 111.801829110736, 211.92574113492464, 125.92699673616391, 149.24087999356655, 163.83592233563726, 158.62944364552422, 155.79373467476685, 158.23222187166255, 159.807614374924, 58.38419135850633, 58.23267447444407, 139.77933684706153]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180, 180, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 156, 163, 224, 301, 301, 301, 301, 301, 301, 301, 301, 182, 181, 301]",0.5504333376257369,0.589325617818845,0.14007390384817744,1.5719585496629076,0.0,0.0,0.041125322643079255,0.018442304510819286,33.951,3.125,10000,2176000,10000,2176000,50.583333333333336,30.2,"[62.29380253537224, 64.66564739565888, 64.79247458767985, 69.55201146868392, 65.01357579814835, 74.34522108630338, 3.689301277382855, 119.36890698829264, 152.17118474963402, 148.24965926535458, 50.55482508675215, 70.50162786000894, 79.58805897860161, 158.5863692858237, 163.59159236387708, 161.86836513454014, 179.26687896417874, 189.4159831295872, 169.8340742671179, 175.6514427312208, 172.96866639383393, 175.77000250422913, 175.54571875443685, 172.2484051062193, 62.80603770721208, 65.01287977672702, 111.801829110736, 211.92574113492464, 125.92699673616391, 149.24087999356655, 163.83592233563726, 158.62944364552422, 155.79373467476685, 158.23222187166255, 159.807614374924, 58.38419135850633, 58.23267447444407, 139.77933684706153]","[196, 188, 199, 198, 210, 301, 301, 301, 301, 301, 163, 180, 180, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 301, 156, 163, 224, 301, 301, 301, 301, 301, 301, 301, 301, 182, 181, 301]",0.5504333376257369,0.589325617818845,0.14007390384817744,1.5719585496629076,0.0,0.0,0.041125322643079255,0.018442304510819286
